PLAYER,SCORE,DELTA_PTS,DELTA_AST,DELTA_REB,DELTA_MIN,N_WITHOUT,LOW_SAMPLE,CONFIDENCE
Jonathan Kuminga,10.453695445406744,9.047131147540984,0.7028688524590163,1.028688524590164,3.6506839622641536,8,True,Low
Brandin Podziemski,5.757813887884269,2.640144665461122,1.8987341772151898,1.7956600361663657,7.9578857142857125,7,True,Low
Buddy Hield,5.572946859903382,4.596618357487923,0.2693236714975844,0.7801932367149758,3.842391304347828,9,True,Low
Trayce Jackson-Davis,5.285860542767832,3.2777777777777777,1.2355072463768118,1.4782608695652173,3.4232189542483695,9,True,Low
Dennis Schroder,3.429418132125004,2.074358974358974,1.255128205128205,0.2467948717948718,2.903155680224401,65,False,High
Pat Spencer,2.3219408047117995,1.6331811263318115,0.10806697108066965,0.593607305936073,3.109057971014492,9,True,Low
Kyle Anderson,2.0024455988455987,1.205050505050505,0.27222222222222214,0.5272727272727269,3.295920634920636,45,False,High
Reece Beekman,1.1529917257683215,0.14539007092198597,0.17375886524822692,0.49645390070921985,6.290555555555554,47,False,High
Moses Moody,0.23648629148629122,0.18055555555555536,0.5959595959595958,-0.7335858585858586,-0.24246031746031704,9,True,Low
Draymond Green,-0.7082443488238683,-0.6006884681583484,-0.6678141135972462,0.11187607573149716,3.3736666666666615,7,True,Low
Kevon Looney,-1.53222349058987,-1.7313797313797314,-0.16239316239316226,0.5470085470085468,0.47446839080459746,9,True,Low
Gary Payton II,-2.050286036036036,-0.8666666666666671,-0.8500000000000001,-0.3041666666666667,-3.9403603603603585,6,True,Low
Lindy Waters III,-2.5121594898172974,-1.9193165638348364,-0.007593735168486049,-1.0550545799715234,-0.5962033462033478,43,False,High
Gui Santos,-3.374334878193702,-1.6868686868686869,-0.43308080808080807,-1.7146464646464648,-5.053323529411765,9,True,Low
Andrew Wiggins,-4.359109304426378,-3.9327913279132787,-0.17560975609756113,-1.2108401084010838,3.108093947606143,41,False,High
Jimmy Butler,-10.336884700665186,-6.859848484848483,-2.4621212121212124,-2.393939393939394,-4.33475609756097,48,False,High
